DEDICATED_ACCOUNT_ID, DESCRIPTION, UNIT_TYPE
100339, 3 Day @3 for 300MB,6
100340, Weekly @7 for 500MB,6
100341, Weekly @7 for 1.5MB,6
100342, Monthly @30 for 550MB,6
100343, Monthly @30 for 2GB,6
100344, Monthly @30 for 1.2GB,6
100345, Monthly @30 for 3GB,6
100354, HSDP Hot Seat Voice Benefit,0
100355, HSDP Hot Seat Data Benefit,6
100365, Data Bundle@2days,6
100366, Data Bundle@7days,6
100367, Data Bundle@15days,6
100368, Data Bundle@30days,6
100369, Social Data Bundle_200MB,6
100370, Social Data Bundle_400MB,6
100371, Social Data Bundle_400MB@2,6
100372, Onnet Minutes_40 Min,0
100373, Onnet Minutes_20 Min@7,0
100374, Onnet Minutes_30 Min@15,0
100375, Terrific Thursday DATA DA,6
100376, Social Data Bundle_500MB,6
100377, Social Data Bundle_200MB@7,6
100378, Social Data Bundle_300MB,6
100379, Social Data Bundle_250MB,6
100380, Social Data Bundle_350MB,6
100381, Social Data Bundle_500MB,6
100422, ODR Jaara3 Offnet Voice,0
100423, ODR 2GHC Sunday Special,6
100424, ODR 2GHC Sunday Special,0
100428, 138 DATA DA ODR,6
100429, 138 DATA DA ODR,6
100430, DATA Flexi Bundles (GHC 0.03-399),6
100431, MashUp Voice,0
100432, 567 ODR Voice Youth Pulse,0
100433, 567 ODR Voice Youth Pulse,0
100434, MashUp DATA,6
100435, 567 ODR Data Youth Pulse,6
100436, DATA Flexi(GHC 0-2.99) (Midnight),6
100437, Social Media GHC 1,6
100438, Social Media GHC 5,6
100439, Social Media GHC 10,6
100440, Video Data Bundle 1,6
100441, Video Data Bundle 3,6
100442, Video Bundle Flexi (GHC 0.03-1000),6
100446, Super Saver GHC 10 Voice,0
100447, ODR Super Saver Bundle Voice,0
100448, Super Saver Bundle Flexi Voice,0
100449, Super Saver GHC 10 Data,6
100450, ODR Super Saver Bundle Data,6
100451, Super Saver Bundle Flexi Data,6
100462, DATA GHC 3  (Midnight),6
101462, Midnight DATA DA ODR,6
200082, Mashup 4G Bonus DA1,6
200083, Mashup 4G Bonus DA2,6
200114, Mashup Social DATA,6
200202, DATA 4G Bonus DA 1,6
200203, DATA 4G Bonus DA 2,6
200204, ODR 4G Bonus DA,6
200208, ODR FTTX Bonus DA,6
200252, Mashup WhatsApp DATA 1,6
300002, SMS Bundle ODR,5
300006, 567 ODR Voice Youth Pulse,0
300007, ODR Youth SMS,5
300008, 567 ODR Data Youth Pulse,6
300009, 567 ODR Voice Youth Pulse,0
300010, ODR Youth SMS,5
300011, 567 ODR Data Youth Pulse,6
300012, 567 ODR Data Youth Pulse,6
300013, ODR MTN Advantage 1,6
300014, ODR MTN Advantage 2,6
300015, ODR SMS Bundle Flexi,5
300016, ODR IDD Bundle Flexi,0
300017, ODR Super Saver Bundle SMS,5
300018, Super Saver Bundle Flexi SMS,5
300019, Super Saver GHC 10 SMS,5
300026, Super Saver GHC 50 Voice,0
300028, Super Saver GHC 50 SMS,5
300030, Super Saver GHC 50 Data,6
300031, DATA GHC 3,6
300032, DATA GHC 399,6
300100, Me2U DATA Transfer,6
300436, Midnight DATA DA ODR,6
300439, Social Media Flexi (GHC 0.03-1000),6
300443, IDD Bundle GHC 2_CANADA_UK FIXED_CHINA_USA_INDIA,0
300445, IDD Bundle GHC 10_CANADA_UK FIXED_CHINA_USA_INDIA,0
400000, FTTX | WTTX ODR Flexi Data,6
